 INFO  Accepting connections at http://localhost:3000
 HTTP  27/5/2026 22:38:41 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe.txt?_rsc=1j8ur
 HTTP  27/5/2026 22:38:41 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:41 ::1 GET /_next/static/chunks/ee5238a82537c42f.js
 HTTP  27/5/2026 22:38:41 ::1 Returned 200 in 2 ms
 HTTP  27/5/2026 22:38:41 ::1 GET /_next/static/chunks/ee5238a82537c42f.js
 HTTP  27/5/2026 22:38:41 ::1 Returned 304 in 1 ms
 HTTP  27/5/2026 22:38:41 ::1 HEAD /contacto?motivo=sugerencia
 HTTP  27/5/2026 22:38:41 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:38:41 ::1 GET /contacto/__next._tree.txt?motivo=sugerencia&_rsc=3m6z6
 HTTP  27/5/2026 22:38:41 ::1 Returned 200 in 1 ms
 HTTP  27/5/2026 22:38:46 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=dctwd
 HTTP  27/5/2026 22:38:46 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:38:47 ::1 GET /directorio
 HTTP  27/5/2026 22:38:47 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:38:53 ::1 GET /contacto/__next.contacto.__PAGE__.txt?_rsc=o46uk
 HTTP  27/5/2026 22:38:53 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:39:01 ::1 GET /directorio/__next.directorio.__PAGE__.txt?_rsc=dctwd
 HTTP  27/5/2026 22:39:01 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:39:01 ::1 GET /metodologia/__next.metodologia.__PAGE__.txt?_rsc=3jmnv
 HTTP  27/5/2026 22:39:01 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:03 ::1 GET /contacto/__next.contacto.__PAGE__.txt?motivo=sugerencia&_rsc=o46uk
 HTTP  27/5/2026 22:39:03 ::1 Returned 404 in 3 ms
 HTTP  27/5/2026 22:39:05 ::1 GET /directorio.txt?_rsc=udray
 HTTP  27/5/2026 22:39:05 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:39:06 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:39:06 ::1 GET /marca/91a25f22-1c2c-458e-89d6-620b9e03c112/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:39:06 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:39:06 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:39:06 ::1 Returned 404 in 1 ms
 HTTP  27/5/2026 22:39:06 ::1 Returned 404 in 5 ms
 HTTP  27/5/2026 22:39:06 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:06 ::1 Returned 404 in 4 ms
 HTTP  27/5/2026 22:39:06 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.txt?_rsc=1y0i0
 HTTP  27/5/2026 22:39:06 ::1 GET /marca/e6c897ed-ee38-46de-8d25-31025320dbbe/__next.marca.$d$id.__PAGE__.txt?_rsc=1a7br
 HTTP  27/5/2026 22:39:06 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:06 ::1 Returned 404 in 2 ms
 HTTP  27/5/2026 22:39:07 ::1 GET /marca/f0586cae-19db-47a3-9fb3-b2fd3a81e3f7.txt?_rsc=qf5u3
 HTTP  27/5/2026 22:39:07 ::1 Returned 200 in 3 ms
 HTTP  27/5/2026 22:39:14 ::1 GET /contacto/__next.contacto.__PAGE__.txt?motivo=sugerencia&_rsc=uv72x
 HTTP  27/5/2026 22:39:14 ::1 Returned 404 in 3 ms
